title,processed,type
St. Trinian's,st trinian comedy family science fiction beloved school threatened closure power fail raise proper fund girl scheme steal priceless painting use profit pull st trinian red solidarity snake exhibit musical shenanigan chaos receiving stolen good girl boarding school quiz show unorthodox debt principal anarchy group friend duringcreditsstinger distillery talulah riley rupert everett gemma arterton barnaby thompson oliver parker,movie
Phone Booth,phone booth thriller drama slick new york publicist pick ringing receiver phone booth told hang killed little red light laser rifle sight proof caller kidding terrorist phone booth psychopath colin farrell kiefer sutherland forest whitaker joel schumacher,movie
A Walk to Remember,walk remember drama romance popular restless landon carter forced participate school drama production fall love jamie sullivan daughter town minister jamie list life also big secret must keep landon based novel theatre group north carolina theatre milieu high school cancer coming age tragic love teenager star crossed lover mandy moore shane west peter coyote adam shankman,movie
Dead Man Walking,dead man walking drama justice drama based true story man death row last day form strong relationship nun teach forgiveness give spirituality accompanies execution susan sarandon oscar best female actress convincing portrayal sister helen prejean prison rape socially deprived family penalty death penalty despair death row begnadigung therapist self discovery prison cell court case death sentence doomed man sentence lethal injection forgiveness charity mercy petition rage hate unsociability right justice court electric chair cowardliness susan sarandon sean penn robert prosky tim robbins,movie
Cruel Intentions,cruel intention drama romance thriller slaking thirst dangerous game kathryn challenge stepbrother sebastian deflower headmaster daughter summer end succeeds prize chance bed kathryn loses kathryn claim prized possession upper class sexual obsession sex bet sadistic drug abuse brother sister relationship cynic cocaine virgin manipulation seduction love letter private school innocence addiction love psychotherapy sarah michelle gellar ryan phillippe reese witherspoon roger kumble,movie
Saw VI,saw vi horror mystery special agent strahm dead detective hoffman emerged unchallenged successor jigsaw legacy however fbi draw closer hoffman forced set game motion jigsaw grand scheme finally understood aftercreditsstinger tobin bell costa mandylor betsy russell kevin greutert,movie
History of the World: Part I,history world part comedy uproarious version history prof nothing sacred even roman empire french revolution spanish inquisition moses roman empire musical stone age music julius caesar mel brook dom deluise madeline kahn mel brook,movie
The Secret Life of Bees,secret life bee adventure set south carolina tale lily owen year old girl haunted memory late mother escape lonely life troubled relationship father lily flees rosaleen caregiver friend south carolina town hold secret mother past woman director dakota fanning queen latifah jennifer hudson gina prince bythewood,movie
Corky Romano,corky romano action comedy crime corky romano bumbling simpleton veterinarian youngest outcast son aging gangster named pop romano call upon corky infiltrate local fbi retrieve destroy evidence used incriminate pop racketeering charge chris kattan vinessa shaw peter falk rob pritts,movie
Raising Cain,raising cain drama horror thriller crime neighborhood kid begin vanishing jenny suspect child psychologist husband carter may resuming deranged experiment father performed carter young fall jenny unravel mystery child disappear fear child safety john lithgow lolita davidovich steven bauer brian de palma,movie
F.I.S.T.,f drama action johnny kovak join teamster trade union local chapter work way organization climb higher higher method become ruthless finally senator madison start campaign find truth alleged connection mob sylvester stallone rod steiger peter boyle norman jewison,movie
Invaders from Mars,invader mar science fiction remake classic sf tale boy try stop invasion town alien take mind parent least liked schoolteacher townspeople aid school nurse boy enlists aid u marine space invasion remake alien invasion karen black hunter carson timothy bottom tobe hooper,movie
Brooklyn,brooklyn drama romance ireland new york young elli lacey choose two men two country love triangle based novel homesickness vororte ship community marriage working class boarding house ireland brooklyn new york city journey dual life irish immigrant saoirse ronan domhnall gleeson emory cohen john crowley,movie
Barry Lyndon,barry lyndon drama romance war eighteenth century small village ireland redmond barry young farm boy love cousin nora brady nora engages british captain john quin barry challenge duel pistol win escape dublin robbed road without alternative barry join british army fight seven year war palace british army fencing epic debt ireland british soldier seven year war nobility prussia ryan neal marisa berenson hardy kr ger stanley kubrick,movie
Out Cold,cold comedy animal house meet casablanca outrageous snowboarding comedy rick rambis friend time life bull mountain legendary papa muntz son decides sell mountain sleazy land developer john major staff fired turning bull mountain yuppieville manager alcohol race mountain gondola snowboarding airplane father sport prank alaska male female relationship drug humor hot tub ski resort jason london lee major zach galifianakis brendan malloy emmett malloy,movie
The Ladies Man,lady man comedy salacious language late night radio advice show host leon phelps along sweet loyal producer julie fired chicago gig leon get letter former lover promising life wealth know leon find secret sugar mama julie female nudity tattoo radio cheat husband eating contest tim meadow karyn parson billy dee williams reginald hudlin,movie
Quartet,quartet drama comedy romance directorial debut dustin hoffman quartet high drama comedy temperamental diva old grudge passion pride romance rigoletto home retired musician annual concert celebrate verdi birthday disrupted arrival jean eternal diva former wife one resident expect poignancy plenty laugh musician concert retired maggie smith tom courtenay billy connolly dustin hoffman,movie
Tomcats,tomcat comedy romance college buddy chip promise group last unmarried man collect cash pot seven year later kitty worth money michael need pay gambling debt problem single guy hopeless womanizer compulsive gambling roulette stag night group friend jerry connell shannon elizabeth jake busey gregory poirier,movie
Frailty,frailty drama thriller crime man confesses fbi agent family story religious fanatic father vision lead series murder destroy supposed demon angel sheriff loss mother texas dream rose garden grave ax insanity murder mechanic vision serial killer punishment demon fbi agent glove religious fanatic remorse flashback forced kill bill paxton matthew mcconaughey power boothe bill paxton,movie
Woman in Gold,woman gold drama maria altmann octogenarian jewish refugee take austrian government recover world famous painting aunt plundered nazi world war ii belief rightfully belongs family regain rightfully also obtain measure justice death destruction massive art theft perpetrated nazi nazi based true story art stolen painting helen mirren ryan reynolds tatiana maslany simon curtis,movie
Kinsey,kinsey drama kinsey portrait researcher alfred kinsey driven uncover private secret nation begin kinsey scientific endeavor soon take intensely personal relevance ultimately becoming unexpected journey mystery human behavior free love sex sexuality indiana professor research interview biography marriage criticism blame homosexuality morality student taboo teaching indiana university sexologist liam neeson laura linney chris donnell bill condon,movie
Army of Darkness,army darkness fantasy horror comedy man accidentally transported must battle army dead retrieve necronomicon return home prophecy witch swordplay supermarket castle catapult chain saw time frame skeleton pit windmill incantation time travel undead knight zombie middle age good bad necronomicon doppelganger bruce campbell embeth davidtz marcus gilbert sam raimi,movie
Slackers,slacker comedy romance dave sam jeff graduate holden university honor lying cheating scheming three roommate proudly scammed way last four year college final exam big men campus busted unlikely dude school self dubbed cool ethan ambitious nerd bad crush enters life one day everything begin unravel male nudity drug abuse job interview eavesdropping fall comedy troll cheating wife backpack sponge bath repairman jason segel devon sawa jason schwartzman dewey nick,movie
What's Eating Gilbert Grape,eating gilbert grape romance drama gilbert care brother arnie obese mother get way love walk life brother brother relationship mentally disabled iowa widow dysfunctional family independent film johnny depp leonardo dicaprio juliette lewis lasse hallstr,movie
The Visual Bible: The Gospel of John,visual bible gospel john drama history word word depiction life jesus christ good news translation bible recorded gospel john miracle jesus christ last supper bible christian god sermon mount christopher plummer henry ian cusick stuart bunce philip saville,movie
Vera Drake,vera drake crime drama abortionist vera drake find belief practice clash more britain conflict lead tragedy family england mother role woman prison police neighbor pregnant female protagonist miscarriage tailor fingerprinting unwanted pregnancy imelda staunton sally hawkins richard graham mike leigh,movie
The Guru,guru comedy romance bored bollywood movie fascinated hollywood counterpart youth ram dream become singer actor america country dream made encouraged american based close friend vijay rao come visit brag driving mercedes living penthouse sex indian lead dancing master new love porn actor guru wedding sex comedy woman director jimi mistry heather graham marisa tomei daisy von scherler mayer,movie
The Perez Family,perez family comedy drama romance midst mariel boat lift hurried exodus refugee cuba going america immigration clerk accidentally presumes dissident juan raul perez dorita evita perez married united last name mutual resolve emigrate dorita juan agree play along get complicated two begin falling juan reunites wife carmela seen decade immigration independent film woman director political prisoner cuban refugee marisa tomei alfred molina anjelica huston mira nair,movie
Inside Llewyn Davis,inside llewyn davis drama music greenwich village early gifted volatile folk musician llewyn davis struggle money relationship uncertain future following suicide singing partner folk music performance aspiring singer new york city recording merchant marine oscar isaac carey mulligan justin timberlake joel coen ethan coen,movie
O,drama romance thriller hot young star hip driving soundtrack plus provocative tale jealousy betrayal combine create controversial modern day version shakespeare classic othello odin james mekhi phifer school star basketball player future nba hopeful even though black student elite palmetto grove academy sex jealousy girlfriend high school columbine high school sport friend drug xenophobia mekhi phifer josh hartnett andrew keegan tim blake nelson,movie
Return to the Blue Lagoon,return blue lagoon drama adventure romance sequel classic two child stranded beautiful island south pacific adult guide two make simple life together eventually become tanned teenager love island marooned pacific island teenager deserted island tropical island milla jovovich brian krause lisa pelikan william graham,movie
The Molly Maguires,molly maguires drama history life rough coal mine pennsylvania secret group irish emigrant miner known molly maguires fight cruelty mining company sabotage murder detective also irish emigrant hired infiltrate group report member side sympathy lie pennsylvania miner coal mining coal mine pennsylvania coal miner sean connery samantha eggar richard harris martin ritt,movie
Romance & Cigarettes,romance cigarette comedy music romance dirty musical love story set world working class nick ironworker build repair bridge married kitty dressmaker strong gentle woman three daughter carrying torrid affair redheaded woman named tula nick basically good hardworking man driven forward blinded urge infidelity lover working class new york city james gandolfini susan sarandon kate winslet john turturro,movie
Copying Beethoven,copying beethoven drama fictionalised exploration beethoven life final day working ninth symphony beethoven racing finish new symphony however year since last success plagued deafness loneliness personal trauma copyist urgently needed help composer fictional character introduced form young conservatory student aspiring composer named anna holtz mercurial beethoven skeptical woman might become involved masterpiece slowly come trust anna assistance end becomes quite fond time piece performed presence life absolute necessity deep understanding work even corrects mistake made passionate personality open door private world beethoven woman director ed harris diane kruger matthew goode agnieszka holland,movie
Brighton Rock,brighton rock drama thriller crime chart headlong fall pinkie razor wielding disadvantaged teenager religious death wish waitress riot gang war nightmare prayer revenge gang brighton violence record andy serkis helen mirren john hurt rowan joffe,movie
Saw V,saw v horror thriller crime detective hoffman seemingly last person alive carry jigsaw legacy secret threatened must go hunt eliminate loose end blood splatter serial killer pig mask nazi jigsaw swastika tattoo tobin bell costa mandylor scott patterson david hackl,movie
Machine Gun McCain,machine gun mccain drama action thriller crime foreign serving year behind bar armed robbery tough guy hank mccain find pawn ruthless mob runt rebellion high level mccain discovers betrayed abandoned new employer retaliates high stake la vega casino heist erupts war street los angeles san francisco new york blood lust wedding vow come mccain money machine gun mobster john cassavetes britt ekland peter falk giuliano montaldo,movie
LOL,lol drama comedy romance world connected youtube itunes facebook lola friend navigate peer pressure high school romance friendship dodging sometimes overbearing confused parent lola mom anne accidentally read teenage daughter racy journal realizes wide communication gap grown coming age mother daughter relationship teen movie teenager based film working mom woman director miley cyrus demi moore douglas booth lisa azuelos,movie
Jindabyne,jindabyne crime drama mystery thriller stewart kane irishman living australian town jindabyne fishing trip isolated hill country three men discover body murdered girl river rather return town immediately continue fishing report gruesome find day later story murder marriage film thing haunt u small town fishing male friendship australia marriage crisis marriage friendship murder australian aborigine aboriginal aborigine laura linney gabriel byrne deborra lee furness ray lawrence,movie
Kabhi Alvida Naa Kehna,kabhi alvida naa kehna drama romance dev maya married different people settled life domestic ritual convinced happy respective relationship still yearn something deeper meaningful precisely find adultery extramarital affair shah rukh khan rani mukerji preity zinta karan johar,movie
An Ideal Husband,ideal husband drama comedy romance sir robert chiltern successful government minister well loving wife threatened mr cheveley appears london damning evidence past misdeed sir robert turn help friend lord goring apparently idle philanderer despair father goring know lady old take whole thing pretty seriously cate blanchett minnie driver rupert everett oliver parker,movie
The Last Days on Mars,last day mar science fiction thriller horror last day first manned mission mar crew member tantalus base belief made astounding discovery fossilized evidence bacterial life unwilling let relief crew claim glory disobeys order pack go unauthorized expedition collect sample routine excavation turn disaster porous ground collapse fall deep crevice near certain death devastated colleague attempt recover body however another vanishes start suspect life form discovered without danger mar science fiction zombie liev schreiber romola garai elia koteas ruairi robinson,movie
Darkness,darkness horror teenage girl move remote countryside house family discover gloomy new home horrifying past threatens destroy family loss child solar eclipse haunted house family psychopathy anna paquin lena olin iain glen jaume balaguer,movie
2001: A Space Odyssey,space odyssey science fiction mystery adventure humanity find mysterious object buried beneath lunar surface set find origin help hal world advanced super computer moon jupiter artificial intelligence man v machine technology super computer human space travel space mission moon base astronaut evolution monolith space station keir dullea gary lockwood william sylvester stanley kubrick,movie
E.T. the Extra-Terrestrial,e extra terrestrial science fiction adventure family fantasy gentle alien becomes stranded earth discovered befriended young boy named elliott bringing extraterrestrial suburban california house elliott introduces e alien dubbed brother little sister gertie child decide keep existence secret soon however e fall ill resulting government intervention dire situation elliott alien farewell homesickness nasa extraterrestrial technology operation space marine loss father hiding place riding bicycle flying saucer prosecution halloween flowerpot finger single henry thomas drew barrymore robert macnaughton steven spielberg,movie
In the Land of Women,land woman romance comedy drama bad breakup girlfriend leaf heartbroken carter webb move michigan take care ailing grandmother get mixed life mother daughter live across street infidelity party love cancer neighbor writer teenager illness flashback actress meg ryan kristen stewart adam brody jon kasdan,movie
The Blue Butterfly,blue butterfly adventure drama family based true story blue butterfly tell story terminally ill year old boy whose dream catch beautiful butterfly earth mythic elusive blue morpho mother persuades renowned entomologist take trip jungle search butterfly leading adventure transform life rain butterfly rainforest woman director insect insectarium marc donato pascale bussi re william hurt l pool,movie
There Goes My Baby,go baby drama comedy group high school senior meet summer struggle choice make dermot mulroney ricky schroder kelli williams floyd mutrux,movie
Housefull,housefull drama comedy romance foreign believing jinx bringing bad luck upon others man attempt find true love end complicated relationship akshay kumar ritesh deshmukh deepika padukone sajid khan,movie
September Dawn,september dawn drama action history western romance story set mountain meadow massacre film based upon tragedy occurred utah group settler traveling wagon murdered native mormon together soul men woman child taken jon voight tamara hope trent ford christopher cain,movie
For Greater Glory - The True Story of Cristiada,greater glory true story cristiada history drama chronicle cristeros war touched rebellion mexican government attempt secularize country duringcreditsstinger eva longoria andy garc oscar isaac dean wright,movie
The Bélier Family,b lier family comedy drama music whole b lier family deaf except sixteen year old paula important translator parent day day life especially come matter concerning family farm music teacher discovers fantastic singing voice get opportunity enter big radio france contest whole family future set big change deafness music coming age teenage girl singing family sign language louane emera karin viard fran ois damiens eric lartigau,movie
Good Will Hunting,good hunting drama hunting genius level iq chooses work janitor mit solves difficult graduate level math problem talent discovered professor gerald lambeau decides help misguided youth reach potential arrested attacking police officer professor lambeau make deal get leniency get treatment therapist sean maguire baseball boston professor harvard university ambition mathematics genius love friend janitor irish psychologist university courtroom flashback prodigy robin williams matt damon ben affleck gu van sant,movie
Misconduct,misconduct drama thriller ambitious lawyer find caught power struggle corrupt pharmaceutical executive firm senior partner case take deadly turn must race uncover truth loses everything josh duhamel alice eve malin kerman shintaro shimosawa,movie
Saw III,saw iii horror thriller crime jigsaw disappeared along new apprentice amanda puppet master behind cruel intricate game terrified community baffled police eluded capture vanished city detective scramble locate doctor lynn denlon jeff reinhart unaware become latest pawn vicious chessboard brain tumor nudity suffocation mutilation severed foot famous theme shot face tobin bell shawnee smith angus macfadyen darren lynn bousman,movie
Stripes,stripe action comedy john winger indolent sad sack impulsively join u army losing job girlfriend apartment date ex girlfriend u army military spoof bill murray harold ramis warren oates ivan reitman,movie
Bring It On,bring comedy toro cheerleading squad rancho carne high school san diego got spirit spunk sas killer routine sure land national championship trophy sixth year row newly elected team captain toros road total cheer glory take shady turn discovers perfectly choreographed routine fact stolen cheerleader sport high school teenage girl cheerleading cheering crowd duringcreditsstinger kirsten dunst jesse bradford eliza dushku peyton reed,movie
The Purge: Election Year,purge election year action horror thriller two year choosing kill man killed son former police sergeant leo barnes become head security senator charlene roan front runner next presidential election due vow eliminate purge night final purge betrayal within government force barnes roan onto street must fight survive night dystopia sequel legalized murder elizabeth mitchell frank grillo mykelti williamson james demonaco,movie
She's All That,comedy romance high school hotshot zach siler envy peer popularity decline sharply cheerleader girlfriend taylor leaf sleazy reality television star brock hudson desperate revive fading reputation siler agrees seemingly impossible challenge six week gain trust nerdy outcast laney boggs help become school next prom queen tv star jeep volleyball misfit teen angst house party teen movie teenager avant garde popularity little people high school student young love prom queen pygmalion clown makeup performance art beatboxing self expression tripping pool cleaner freddie prinze jr rachael leigh cook matthew lillard robert iscove,movie
Saw IV,saw iv horror thriller crime jigsaw apprentice amanda dead upon news detective kerry murder two seasoned fbi profilers agent strahm agent perez arrive terrified community assist veteran detective hoffman sifting jigsaw latest grisly remains piecing together puzzle however swat commander rigg abducted thrust game last officer untouched jigsaw ninety minute overcome series demented trap save old friend face deadly consequence ice victim pain game psychopath blood electric chair doctor torture violence police officer fbi agent female corpse tobin bell scott patterson costa mandylor darren lynn bousman,movie
White Noise,white noise drama horror thriller architect desire speak wife beyond grave using evp electronic voice phenomenon becomes obsession supernatural repercussion wheelchair time voice inspector supernatural loss remote control lifting person air paranormal phenomenon death waterfront audio cassette logbook electronic voice phenomenon near miss bedridden michael keaton chandra west deborah kara unger geoffrey sax,movie
Madea's Family Reunion,madea family reunion drama comedy romance based upon tyler perry acclaimed stage production madea family reunion continues adventure southern matriarch madea court ordered charge nikki rebellious runaway niece lisa vanessa suffering relationship trouble organize family reunion spanking based play tyler perry blair underwood lynn whitfield tyler perry,movie
The Color of Money,color money drama former pool hustler fast eddie felson decides want return game taking pupil meet talented green vincent lauria proposes partnership tour pool hall eddie teach vincent trick scamming eventually grows frustrated vincent showboat antic leading argument falling eddie take playing soon cross path vincent opponent bar billard talent hustler sport paul newman tom cruise mary elizabeth mastrantonio martin scorsese,movie
The Longest Day,longest day action drama history war retelling june perspective german u british canadian free french marshall erwin rommel touring defense established part reich atlantic wall note officer allied invasion come must stopped beach ally well german longest day world war ii normandy allied widerstand steel helmet soldier eddie albert paul anka arletty bernhard wicki ken annakin andrew marton,movie
The Mighty Ducks,mighty duck comedy family reckless young lawyer gordon bombay get arrested drunk driving must coach kid hockey team community service gordon experience ice eager return hockey point hit home tense dealing former coach jack reilly reluctant gordon eventually grows appreciate team includes promising young charlie conway lead take reilly tough player sport team sport ice hockey hockey game winning feel good ending big game emilio estevez joss ackland lane smith stephen herek,movie
The Grudge,grudge horror mystery thriller american nurse karen davis move tokyo encounter vengeful supernatural spirit known grudge often possesses victim series horrifying mysterious death occur spirit passing curse onto victim karen must find away break spell becomes spirit next victim male nudity nurse japanese house remake curse old woman catatonia ghost child remake japanese film sarah michelle gellar jason behr clea duvall takashi shimizu,movie
Happy Gilmore,happy gilmore comedy failed hockey player turned golf whiz happy gilmore whose unconventional approach antic grass court ire rival shooter mcgavin determined win pga tournament save granny house prize money meanwhile attractive tour publicist try soften happy image loss mother loss father golf sport tax adam sandler ben stiller christopher mcdonald dennis dugan,movie
Jeepers Creepers,jeepers creeper horror thriller college age brother sister get bargained road trip home spring break bickering sibling witness creepy truck driver tossing body bag sewer near abandoned church investigate bad move opening pandora box unspeakable evil pair must flee life monstrous shape hot pursuit mass murder song brother sister aftercreditsstinger gina philip justin long jonathan breck victor salva,movie
Bill & Ted's Excellent Adventure,bill ted excellent adventure adventure comedy science fiction small town san dimas mile away los angeles two nearly brain dead teenage boy going name bill preston esq ted theodore logan dream together starting rock roll band called wyld stallyns unfortunately still high school verge failing school well pas upcoming history report separated result ted father sending military school bill ted know must stay together save future man future named rufus came help pas report bill ted decided gather historical figure need report hoping help pas report stay together jealousy journey past sigmund freud time travel heavy metal socrates billy kid school presentation rhinoceros phone booth world peace past history metal best friend napoleon bonaparte keanu reef alex winter george carlin stephen herek,movie
Oliver!,oliver drama family music musical adaptation charles dickens oliver twist classic tale orphan run away workhouse join group boy headed artful dodger trained pickpocket master thief fagin pickpocket musical victorian england orphan ron moody shani wallis oliver reed carol reed,movie
The Best Exotic Marigold Hotel,best exotic marigold hotel drama comedy british retiree travel india take residence believe newly restored hotel less luxurious advertisement marigold hotel nevertheless slowly begin charm unexpected way resident find new purpose old age hotel based novel india ensemble cast elderly jaipur india personal growth outsourcing bill nighy maggie smith tom wilkinson john madden,movie
Recess: School's Out,recess school science fiction animation comedy family recess school animated film based disney television series recess film produced walt disney picture released theatrically nationwide february exciting time year third street elementary end school year boredom quickly set protagonist tj detweiler friend headed summer camp one day passing school bike notice green glow coming school auditorium work insidious ex principal third street phillium benedict gang ninja secret service look alikes benedict planning get rid summer vacation using newly acquired tractor beam stole u military base effort raise u test score recess gang stop end holiday elementary school friend based tv series summer classmate recess rickey shon collins jason davis ashley johnson chuck sheetz,movie
Mad Max Beyond Thunderdome,mad max beyond thunderdome action adventure science fiction mad max becomes pawn decadent oasis technological society exiled becomes deliverer colony child arena sandstorm dystopia oasis sequel post nuclear ozploitation mel gibson tina turner bruce spence george miller george ogilvie,movie
Commando,commando action adventure thriller john matrix former leader special commando strike force always got toughest job done forced back action young daughter kidnapped find matrix fight way array punk killer one former commando fully equipped private army help feisty stewardess old friend matrix hour overcome greatest challenge finding daughter killed kidnapping lone wolf daughter father rescue mission arnold schwarzenegger rae dawn chong dan hedaya mark l lester,movie
The Boy,boy horror mystery thriller nanny working family whose son passed away find put charge caring lifelike doll couple treat real child suicide england fire country house shower nanny mask boy murder mansion violence doll burn victim secret passageway broken mirror loss child lauren cohan rupert evans james russell william brent bell,movie
Devil,devil horror mystery thriller group people trapped elevator realizes devil among claustrophobia trapped elevator chris messina jacob vargas bojana novakovi john erick dowdle,movie
Friday After Next,friday next comedy craig day day finally moved parent house crib cousin work night local mall security guard house robbed christmas eve team track guard shopping mall thief drug ice cube mike epps john witherspoon marcus raboy,movie
Insidious: Chapter 3,insidious chapter drama horror thriller twisted new tale terror begin teenage girl family predating haunting lambert family earlier movie revealing mystery otherworldly realm sequel dermot mulroney stefanie scott lin shaye leigh whannell,movie
The Last Dragon,last dragon action adventure comedy young man search master obtain final level martial art mastery known glow along way must fight evil martial art expert rescue beautiful singer obsessed music promoter martial art pizzeria limousine music taimak julius carry vanity michael schultz,movie
The Lawnmower Man,lawnmower man horror thriller science fiction simple man turned genius application computer science dream chimp manipulation botanist virtual reality lemonade intelligent jeff fahey pierce brosnan jenny wright brett leonard,movie
Nick and Norah's Infinite Playlist,nick norah infinite playlist comedy music romance nick stop obsessing ex girlfriend tris tris friend norah suddenly show interest club thus being odd night filled ups down two keep running tris new boyfriend searching norah drunken friend caroline help nick band mate night wind two figure want concert teenager one night based young adult novel secret location michael cera kat dennings aaron yoo peter sollett,movie
Dogma,dogma fantasy comedy adventure latest battle eternal war good evil come new jersey late late th century angel demon apostle prophet sort walk among cynic innocent america duke fate humankind angel wisconsin church service church aftercreditsstinger duringcreditsstinger ben affleck matt damon linda fiorentino kevin smith,movie
The Banger Sisters,banger sister comedy drama late self proclaimed belle rock n roll ball rocked world every music legend whose pant could take picture prove two decade since banger sister earned nickname even laid eye reunion collision two woman world one living past one hiding together learn live moment tattoo rock star groupie past family goldie hawn susan sarandon geoffrey rush bob dolman,movie
Twilight Zone: The Movie,twilight zone movie drama fantasy horror science fiction thriller four director collaborated remake four episode popular television series twilight zone movie episode updated slightly color television show black white true original eerie disturbing situation gradually spin control quality mercy kick good life nightmare foot nazi anthology remake twilight zone albert brook vic morrow john larroquette steven spielberg joe dante john landis george miller,movie
Road House,road house action thriller double deuce meanest loudest rowdiest bar south mason dixon line dalton patrick swayze hired clean might look like much ph educated bouncer prof capable busting head troublemaker turning roadhouse jumping hot spot dalton romance gorgeous dr clay kelly lynch put bad side cutthroat local big shot brad wesley ben gazzara new love protection money nightclub rausschmei er revenge hoodlum brawl patrick swayze kelly lynch sam elliott rowdy herrington,movie
A Low Down Dirty Shame,low dirty shame action comedy crime black detective becomes embroiled web danger searching fortune missing drug money course investigation encounter various old connection ultimately confronting criminal responsible shame expulsion force must also deal two woman angela beautiful old flame peach energetic annoying sidekick fbi drug crime violence drug private detective blast keenen ivory wayans charles dutton jada pinkett smith keenen ivory wayans,movie
Swimfan,swimfan drama thriller ben cronin admiration many friend terrific girlfriend fast track athletic scholarship ben rock solid promising future romance turned upside arrival madison bell madison new girl town quickly set sight impressionable ben first meeting innocent enough obsessive seductive madison want much competition coma infidelity obsession bathing high school femme fatale athlete hospital swimmer swimming troubled teen jesse bradford erika christensen shiri appleby john polson,movie
Employee of the Month,employee month comedy romance hears new female employee dig ambitious men store employee month slacker get act together find competition rival ambitious co worker salesclerk midlife crisis prenzlauer berg vulgar slacker business consultant dane cook jessica simpson dax shepard greg coolidge,movie
Can't Hardly Wait,hardly wait comedy drama romance graduation day huntington hill high know mean time party party either one night remember nerd become stud jock humiliated freshman crush blossom grown romance alcohol regret homophobia radio cheerleader love letter college graduation groupie costume nerd high school party friend dating break rock band pop music american football player infatuation washed star unlikely friendship social outcast woman director jock fun revenge plot jennifer love hewitt ethan embry charlie korsmo deborah kaplan harry elfont,movie
The Outsiders,outsider crime drama two poor greaser johnny ponyboy assaulted vicious gang socs johnny kill one attacker tension begin mount two rival gang setting turbulent chain event street gang child home coming age gang juvenile delinquent based young adult novel matt dillon ralph macchio c thomas howell francis ford coppola,movie
Pete's Dragon,pete dragon adventure family fantasy pete mysterious year old family home claim live wood giant green dragon named elliott help natalie year old girl whose father jack owns local lumber mill forest ranger grace set determine pete came belongs truth dragon feral child remake dragon orphan live action animation bryce dallas howard oakes fegley wes bentley david lowery,movie
The Dead Zone,dead zone horror science fiction thriller johnny smith schoolteacher whole life ahead leaving fiancee home one night involved car crash leaf coma year wake discovers ability see past present future life anyone come physical contact coma sheriff based novel sacrifice suspense psychopathic killer premonition independent film vision doctor car accident series murder psychic dark hero gothic madness flashback christopher walken brooke adam tom skerritt david cronenberg,movie
Sinister 2,sinister horror young mother twin son move rural house marked death haunted house sequel twin shannyn sossamon james ransone robert daniel sloan ciaran foy,movie
Sparkle,sparkle drama music musical prodigy sparkle jordin spark struggle become star overcoming issue tearing family apart affluent detroit area daughter single mother whitney houston try balance new romance music manager stix derek luke dealing unexpected challenge new life bring two sister carmen ejogo tika sumpter strive become dynamic singing group motown era soong sister duringcreditsstinger whitney houston cee lo green derek luke salim akil,movie
Valentine,valentine horror thriller five friend stalked murdered masked assailant preparing valentine day mobbing success violence woman revenge serial killer valentine day denise richards david boreanaz marley shelton jamie blank,movie
The Fourth Kind,fourth kind mystery science fiction thriller since disproportionate number population around nome alaska gone missing despite fbi investigation disappearance remain mystery dr abigail tyler psychologist may verge blowing unsolved case wide open course treating patient find evidence alien abduction brother sister relationship wheelchair hypnosis investigation cover ufo alaska disappearance hospital alien abduction patient psychotherapy fake documentary based supposedly true story nome alaska faked footage audio cassette ancient astronaut anchorage alaska police fake duringcreditsstinger milla jovovich patton hakeem kae kazim olatunde osunsanmi,movie
A Prairie Home Companion,prairie home companion drama comedy music look go backstage last broadcast america celebrated radio show singing cowboy dusty lefty country music siren host others hold court usa country music commercial radio presenter radio transmission b hnenauftritt backstage singer meryl streep lindsay lohan virginia madsen robert altman,movie
Sugar Hill,sugar hill drama action thriller sugar hill american crime drama neo noir film starring wesley snipe michael wright brother roemello raynathan skuggs film focus two brother major drug dealer harlem neighborhood new york city wesley snipe michael wright donald faison leon ichaso,movie
Invasion U.S.A.,invasion u action thriller one man army come rescue united state spy attempt invasion chuck norris richard lynch melissa prophet joseph zito,movie
Roll Bounce,roll bounce comedy drama family wikipedia free encyclopedia roll bounce american comedy drama film written norman vance jr directed malcolm lee film star hip hop artist bow wow leader roller skating crew chicago film also star nick cannon meagan good brandon jackson wesley jonathan chi mcbride kellita smith jurnee smollett description wikipedia article roll bounce licensed cc sa full list contributor wikipedia nick cannon shad moss chi mcbride malcolm lee,movie
Rushmore,rushmore comedy drama beautiful first grade teacher arrives prep school soon attracts attention ambitious teenager named max quickly fall love max turn father two schoolmate advice woo teacher however situation soon get complicated max new friend becomes involved setting two pal one another war attention private school lone wolf theatre play theatre group theatre director independent film jason schwartzman olivia williams bill murray wes anderson,movie
Skyline,skyline science fiction strange light descend city los angeles people drawn outside like moth flame extraterrestrial force threatens swallow entire human population face earth band survivor must fight life world unravels around missile light transformation low budget alien fireplace los angeles cell phone rooftop duringcreditsstinger eric balfour scottie thompson david zayas colin strause greg strause,movie
The Second Best Exotic Marigold Hotel,second best exotic marigold hotel drama comedy best exotic marigold hotel single remaining vacancy posing rooming predicament two fresh arrival sonny pursues expansionist dream opening second hotel india retirement home dev patel judi dench richard gere john madden,movie
